wallet,deposit,borrow,repay,redeem,deposit_count,borrow_count,repay_count,liquidations,repay_ratio,score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1987.6636548592714,0.0,0.0,0,1,0,0,0,0.0,700
0x000000000051d07a4fb3bd10121a343d85818da6,285694480361492.7,0.0,0.0,0,1,0,0,0,0.0,700
0x000000000096026fb41fc39f9875d164bd82e2dc,5152310624.158186,0.0,0.0,0,2,0,0,0,0.0,700
0x0000000002032370b971dabd36d72f3e5a7bf1ee,2.0657733084285235e+17,6.029762086214079e+16,70150.26379074076,0,250,15,4,0,1.1634001937012771e-12,600
0x000000000a38444e0a6e37d3b630d7e855a7cb13,1.8390665686010516e+16,11631.431210321323,11640.280239622172,0,7,8,5,0,1.0007607859377612,900
0x000000003853fcedcd0355fec98ca3192833f00b,76376315604.972,0.0,0.0,0,8,0,0,0,0.0,700
0x000000003ce0cf2c037493b1dc087204bd7f713e,4.585861982762903e+17,1.324157609026383e+17,339812873060944.7,0,309,30,16,0,0.0025662569979928583,600
0x000000007858e6f2668e1e06111cfa24403a5466,142160666481.45407,0.0,0.0,0,1,0,0,0,0.0,700
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1.7666525037857388,0.0,0.0,0,1,0,0,0,0.0,600
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,7.999916941682949e+17,5.975019617796155e+17,5.97568679828446e+17,0,26,24,9,0,1.0001116616397907,900
0x00000029ff545c86524ade7caf132527707948c4,3.254660503465467e+18,1.759512594809414e+18,1.7435939341859732e+18,0,12,12,12,0,0.9909528009799982,750
0x00000087c4cebffb95746d1935de7fbcab092f40,2.216919941662641e+16,2.316420103419422e+16,1199151322612232.8,0,86,62,45,0,0.05176743721236427,600
0x000000e28faa823d5b53ff6c2922c28335840375,3.134059613762207e+18,2.559678839221803e+18,1.8523440568145644e+18,0,107,66,63,0,0.7236626831582186,750
0x000006eee6e39015cb523aebdd4d0b1855aba682,4.2849152929215784e+16,2.300705925998673e+16,2.3151274780815504e+16,0,11,4,1,0,1.006268316137195,900
0x00000a9c78912badb92d73b6ed26456e11def5eb,1.6927543127773312,0.0,0.0,0,1,0,0,0,0.0,600
0x00002b503a75998c97508916a74fdb41934fa030,2.2937294172388547e+18,6.178981819947749e+17,4.2714778564618426e+17,0,27,47,45,0,0.6912915397601807,750
0x0000897253cc85f7547317eb2080b36b3255687a,466185762066389.7,0.0,0.0,0,1,0,0,0,0.0,700
0x0000b252c943089fbba5554a1d196ef79bc77e4f,1.116218296466259,0.0,0.0,0,1,0,0,0,0.0,600
0x0000ce08fa224696a819877070bf378e8b131acf,1967476047132.329,1257932658028036.0,0.0,0,3,1,0,0,0.0,500
0x00010a708585ba4812a1c5976182626c75cb7a6b,1143529118181716.0,302687401622063.75,302362674359930.2,0,9,6,7,0,0.9989271860659102,750
0x00016fc0c9f7620e920e1423fd455f9574f48025,3145759276004.6475,0.0,0.0,0,2,0,0,0,0.0,700
0x0002761e848b24046a53d494847b11a3e1d36b09,1002262174437.4797,0.0,0.0,0,1,0,0,0,0.0,700
0x00027e45436f11ec8549b7d5e0b86748ee61c13d,1.0112506095471125,0.0,0.0,0,2,0,0,0,0.0,600
0x0003816b25fd3d6c112eb65c089760fa3f791947,7122699059900504.0,2946593000000001.0,2946950500000006.0,0,1,1,1,0,1.0001213265625775,900
0x0003bbb966655dc0fbbb380797b07fc547e9ddc5,33171007704367.742,917.4028183810866,0.0,0,12,5,0,0,0.0,500
0x0003d4fb942d0cad7fa1b658ad6d46ef6c15f11b,1049.493536649711,0.0,0.0,0,1,0,0,0,0.0,700
0x0003f46779806fe779e7f30eec95dbdb4d45840b,2186.046136065428,2095.927039250547,1474.2672201061496,0,8,6,5,0,0.7033962502021598,750
0x0004849537dab5c33fc8c494d05313dfbe2d99f3,994.0621402142455,505.6751402199634,543.4854055313201,0,2,3,1,0,1.0747718491656713,800
0x0004a89403e17f544bfbd25ecb1a7d9215a1d61b,2741759361949003.0,518.3127324254524,0.0,0,1,1,0,0,0.0,500
0x0004d4112ee696dabc22b221bef156ecdaeb1a59,35395717480350.12,22653259187424.074,22653259187424.074,0,2,1,1,0,1.0,900
0x0005696d4be2359526c497fe4a4c0620b41f2426,735687320698561.5,593.7611376147482,592.9530021211906,0,1,1,1,0,0.9986389552256585,750
0x000660cad76200a2e326f53e033919905e6c50f5,1.0648525755563298,0.0,0.0,0,1,0,0,0,0.0,600
0x00069a4bf1b2a8d5eded8e91347dbaa70796ff54,1153676531039.4421,0.0,0.0,0,1,0,0,0,0.0,700
0x00080000158a9930aeb508823103b0a977161c47,2617513598912.1426,0.0,0.0,0,2,0,0,0,0.0,700
0x00099b1263c22ae2ce0a52624cef2a012e751970,1058147343307.2289,0.0,0.0,0,2,0,0,0,0.0,700
0x0009ce45d5df78e632a0b4987079432dfba2253a,32446847156.000053,0.0,0.0,0,1,0,0,0,0.0,700
0x000a27ba176083e4b50177378cbe7469a00dd557,277.8849972393591,160.38631003803744,160.22581757470167,0,4,2,2,0,0.9989993381399092,650
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,1.932663909054446e+16,73564641652974.1,13381.494379508396,0,18,8,5,0,1.8190116989399358e-10,600
0x000ab43e658935ba39504a1424b01756c1e9644c,113652379383.43968,11365237938.343967,0.0,0,1,1,0,0,0.0,500
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,273511544478460.5,0.0,0.0,0,49,0,0,0,0.0,700
0x000c8e2871750f458bf1de8ab528dda09bc95db6,5480588573862458.0,2366767191230522.0,2366767191230522.0,0,1,1,1,0,1.0,900
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,187610630403321.75,963.8765146793129,933.0977900335209,0,20,20,17,0,0.9680677719842233,750
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,282105637602505.25,40.10267633402085,40.31433339845018,0,4,1,1,0,1.0052778787796208,900
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1218108806.2153707,0.0,0.0,0,1,0,0,0,0.0,700
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,139205585052.03293,0.0,0.0,0,1,0,0,0,0.0,700
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,760406186165331.4,886.7244790708098,503.6501564107848,0,1,3,2,0,0.5679894581669326,750
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,7053997334319022.0,0.0,0.0,0,6,0,0,0,0.0,700
0x000e840a3122ec28d0c29321db172375cb049762,700190083689281.0,216.8257036891647,217.3913973215126,0,5,2,2,0,1.0026089786530055,900
0x000e9bd1d42999446d60ff60f1fb3afb13604202,66654123810212.97,34.630956155900854,35.37800801727156,0,8,6,4,0,1.021571794264289,900
0x000eab293e332bd6e67018a9150e8807bfac3233,1097254760600.487,0.0,0.0,0,1,0,0,0,0.0,700
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,102377389231888.67,0.0,0.0,0,1,0,0,0,0.0,700
0x000f4432a40560bbff1b581a8b7aded8dab80026,3.1488764002887656e+16,17603.97911970302,17566.377247476397,0,7,6,3,0,0.9978640129046428,750
0x000f7f22bfc28d940d4b68e13213ab17cf107790,4.094270498824155e+19,3.443628028011005e+19,3.433472565069429e+19,0,26,19,13,0,0.9970509407929747,750
0x000f908720f9ce164d90f4fc89459fab4442907f,1533514206332144.0,796443100395630.6,792775870146905.4,0,32,30,17,0,0.9953954899641876,750
0x000fbfec300959d0f2f327728a889c1f5de8e2df,591428253568978.1,140010630600290.28,139700011487765.88,0,3,1,1,0,0.9977814605134436,750
0x0011730224657eb527cf736039854c3a3f140e63,1507324205025001.8,738025356182590.2,738025356182590.2,0,1,1,1,0,1.0,900
0x00120ea6fdbaf057eadc1bd149f957488444e92c,261125891711734.03,2.6029677882195146,2.6163774015531502,0,2,1,1,0,1.005151663187814,900
0x0012668072f7e0579caf7e047713d8b6d476d0db,2296181487521.5225,0.0,0.0,0,2,0,0,0,0.0,700
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,1.838633810321085e+16,4965173744632387.0,935131957295062.5,0,101,24,93,0,0.1883382144091109,600
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,204240431458.08832,0.0,0.0,0,1,0,0,0,0.0,700
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2.435337781859825,0.0,0.0,0,2,0,0,0,0.0,600
0x0014dfac19477a83d7354e6eaac28642c1959398,8.672151626282624e+16,18149.001627910842,18188.824774686094,0,10,6,9,0,1.0021942334675868,900
0x001589fe1923c2118f34e4277f2ef650fcbf0161,3758467113608674.5,1419946916528212.8,0.0,0,19,2,0,0,0.0,500
0x00159370cbe576b765a7fb2e78582e0cb563d445,2451090777406979.5,2348736820286721.5,0.0,0,10,7,0,0,0.0,500
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,14.143677216766179,0.0,0.0,0,1,0,0,0,0.0,600
0x0016469a65facda9e86fd0ae0e9661128843c224,20668510838.36642,4676133673.838557,0.0,0,1,1,0,0,0.0,500
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,202456720023.76752,0.0,0.0,0,1,0,0,0,0.0,700
0x00183135585d70a523d61b2e43037a7138b36906,1662229387057669.5,3849790053752160.0,1709073425633665.8,0,15,13,10,0,0.44393938416665973,600
0x00184e8aa1e95f491f2d9601e12b540092160ded,102305711108000.1,24984797105800.02,24984797105800.02,0,1,1,1,0,1.0,900
0x0018583d7654803d2c59467e10dec5f70bbe1851,260583128.6238107,0.0,0.0,0,72,0,0,0,0.0,700
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2.259609878203447,0.0,0.0,0,2,0,0,0,0.0,600
0x0018d044b946ede86b43bb3b964a45772a5abeb9,2.872033114686218e+16,1.1215514727063227,1.121345368530205,0,9,2,2,0,0.9998162329762535,750
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0.0,79.00412443596895,158.72329212505053,0,0,1,2,0,2.0090507078993345,800
0x0019bd9f6142943f3a03a8a62d0001a95213f555,126608392264.04059,0.0,0.0,0,1,0,0,0,0.0,700
0x001b024b98ee862aa01eea595c4c16a0213d2611,901292526286305.2,498.74059439622636,0.0,0,1,1,0,0,0.0,500
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,46710787684152.52,234.87821429900868,235.2622310010467,0,10,6,7,0,1.0016349609229793,900
0x001bc97d92e1a30b02d4e75be25f06063555d556,1.1472342231228866e+17,54445.83740909293,54503.63129933802,0,12,10,9,0,1.0010614932746986,900
0x001be549fa377710b9e59d57bbdf593ce1e379ca,1586084926828.216,0.0,0.0,0,2,0,0,0,0.0,700
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,1812428653548.6912,0.0,0.0,0,2,0,0,0,0.0,700
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1565990185332.6885,0.0,0.0,0,1,0,0,0,0.0,700
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1.1337851305503868,0.0,0.0,0,1,0,0,0,0.0,600
0x001f96b7e19a54ae45f451b0148336504d03fdcf,566.6408226639782,0.0,0.0,0,1,0,0,0,0.0,600
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,1196303231679944.8,0.0,0.0,0,5,0,0,0,0.0,700
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,0.023605146373711014,0.0,0.0,0,1,0,0,0,0.0,600
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,1157956333789.602,0.0,0.0,0,2,0,0,0,0.0,700
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1105702376236.72,0.0,0.0,0,1,0,0,0,0.0,700
0x002379916ac42a432f3b53f16782d33267debb4c,1188650795292.2617,0.0,0.0,0,1,0,0,0,0.0,700
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2.259609878203447,0.0,0.0,0,2,0,0,0,0.0,600
0x0023d9ffe7d793895c5da5833d56c737832ead2b,15.189578905507386,0.0,0.0,0,2,0,0,0,0.0,600
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,5.129981410556754,0.0,0.0,0,1,0,0,0,0.0,600
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,3103305498262.0957,0.0,0.0,0,2,0,0,0,0.0,700
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,26044090290.244564,0.0,0.0,0,1,0,0,0,0.0,700
0x00246f7813397868b1beec56e1677efa47816dae,7.438978731874704e+18,5.816299443463209e+18,5.472177717614791e+18,0,30,9,2,0,0.9408349365101606,750
0x0025a856d01a898bd52286d56c52323b13937b65,142202497421.8183,0.0,0.0,0,1,0,0,0,0.0,700
0x00261d225db379b3fc74cd0228d6f90582d39035,32239917783.138004,4713438272.388597,0.0,0,1,1,0,0,0.0,500
0x00262ffcfda82b5582d1905ca05b849f196b0419,101.41967361600112,57.24285810787879,56.95340624693982,0,4,3,1,0,0.9949434414963441,650
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,162091424281.99927,0.0,0.0,0,1,0,0,0,0.0,700
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1.862989298047552,0.0,0.0,0,1,0,0,0,0.0,600
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,204590866403.1135,0.0,0.0,0,1,0,0,0,0.0,700
0x002775390698ef16589bb22bba37ae7906ae2f36,81790043756761.55,68522936271816.07,3386308266868.168,0,17,7,5,0,0.049418610046647674,600
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1.8864509259060727,0.0,0.0,0,1,0,0,0,0.0,600
0x0027f7335d610f15b325baa5798414548720fcaa,646588504693710.5,1568.6763662421108,1571.6110933811847,0,6,2,2,0,1.0018708302121644,900
0x00283b611db7844cb5677b311afd67c8e3078518,7.201520673920151,0.0,0.0,0,1,0,0,0,0.0,600
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,37375320100.34612,0.0,0.0,0,1,0,0,0,0.0,700
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2123490954986.433,0.0,0.0,0,2,0,0,0,0.0,700
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1.1058755718750977,0.0,0.0,0,1,0,0,0,0.0,600
0x002aea16059a7d4bef638a03b61a9e80ef07e745,2085940883981687.2,962299598210510.2,583822.8517532286,0,12,10,5,0,6.066955164887359e-10,600
